,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.8490325727992714,0.9479960514094209,0.4861436689038881,0.6655563095544541,0.7051427615203106,0.7330259679580384,0.9133246373553334,0.9720621332946,0.8574226022866733,0.9024833183595801,0.6008273262633795,0.7114453673572849,0.3799503888878206,0.811835103245694
PSNR,0.8490325727992714,1.0,0.9418541451610856,0.21005815018766955,0.4422795527744107,0.5935551733921701,0.5229142215113994,0.8344756554281527,0.8309964824774476,0.7277701620000361,0.7883131676538955,0.42799228876702344,0.6325357416790787,0.359666359003334,0.705703241658911
P1204_3_MOS,0.9479960514094209,0.9418541451610856,1.0,0.39359383194761316,0.5801897110667228,0.6661794135863717,0.6549951534921433,0.923950757999049,0.9245074164921848,0.8349943195499078,0.8950975035893229,0.5471169233677781,0.7295847698996456,0.4337135853296455,0.7819923743659015
COVER_SSC,0.4861436689038881,0.21005815018766955,0.39359383194761316,1.0,0.5666207501303876,0.454737616811034,0.598446184320915,0.47275976707284206,0.4599721462229719,0.521932060053055,0.5218239496841656,0.4402466495397382,0.46835529044389973,0.2261684536141987,0.43039689757810257
COVER_TSC,0.6655563095544541,0.4422795527744107,0.5801897110667228,0.5666207501303876,1.0,0.6790999489514278,0.9680820310910947,0.6333796185652425,0.6362698951900051,0.5831916894078669,0.6255010461984154,0.4633696205013833,0.5149908778933637,0.24803571230036153,0.5858701542038066
COVER_ASC,0.7051427615203106,0.5935551733921701,0.6661794135863717,0.454737616811034,0.6790999489514278,1.0,0.839891348071944,0.6790150067389469,0.7150884039983745,0.5592101866576081,0.6286316886744575,0.44591567129052717,0.44094297804071125,0.16196811593839516,0.7116402024114202
COVER_FSC,0.7330259679580384,0.5229142215113994,0.6549951534921433,0.598446184320915,0.9680820310910947,0.839891348071944,1.0,0.7006395931840335,0.7142507032309591,0.6264987179965782,0.6800870186738733,0.4993130133149671,0.5358899761952715,0.2413120840131049,0.6756862635210691
LD_PCT,0.9133246373553334,0.8344756554281527,0.923950757999049,0.47275976707284206,0.6333796185652425,0.6790150067389469,0.7006395931840335,1.0,0.8921976613787399,0.8240369975534962,0.8949642481575593,0.5456949802556756,0.7515193025159576,0.38584576226762124,0.7703956908794822
SI_PCT,0.9720621332946,0.8309964824774476,0.9245074164921848,0.4599721462229719,0.6362698951900051,0.7150884039983745,0.7142507032309591,0.8921976613787399,1.0,0.7696427110143526,0.8983723541080741,0.49734521879135196,0.6559342591184909,0.2716099283524959,0.8008500818652519
TI_PCT,0.8574226022866733,0.7277701620000361,0.8349943195499078,0.521932060053055,0.5831916894078669,0.5592101866576081,0.6264987179965782,0.8240369975534962,0.7696427110143526,1.0,0.8664479909473197,0.8242369274746021,0.8651136602046946,0.5802880914457792,0.6522926869621801
VCA_E_PCT,0.9024833183595801,0.7883131676538955,0.8950975035893229,0.5218239496841656,0.6255010461984154,0.6286316886744575,0.6800870186738733,0.8949642481575593,0.8983723541080741,0.8664479909473197,1.0,0.6135021317962254,0.8617503065834624,0.47111436192366607,0.6973765070128292
VCA_H_PCT,0.6008273262633795,0.42799228876702344,0.5471169233677781,0.4402466495397382,0.4633696205013833,0.44591567129052717,0.4993130133149671,0.5456949802556756,0.49734521879135196,0.8242369274746021,0.6135021317962254,1.0,0.6793708484582822,0.5312542363101302,0.4651897757068888
EVCA_SC_PCT,0.7114453673572849,0.6325357416790787,0.7295847698996456,0.46835529044389973,0.5149908778933637,0.44094297804071125,0.5358899761952715,0.7515193025159576,0.6559342591184909,0.8651136602046946,0.8617503065834624,0.6793708484582822,1.0,0.5052118199860492,0.48190027968601173
EVCA_TC_PCT,0.3799503888878206,0.359666359003334,0.4337135853296455,0.2261684536141987,0.24803571230036153,0.16196811593839516,0.2413120840131049,0.38584576226762124,0.2716099283524959,0.5802880914457792,0.47111436192366607,0.5312542363101302,0.5052118199860492,1.0,0.24291242164453222
CARS_PCT,0.811835103245694,0.705703241658911,0.7819923743659015,0.43039689757810257,0.5858701542038066,0.7116402024114202,0.6756862635210691,0.7703956908794822,0.8008500818652519,0.6522926869621801,0.6973765070128292,0.4651897757068888,0.48190027968601173,0.24291242164453222,1.0
