BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename,filename
3011,97.165539,45.855148,16.593473147678665,7.196932930016084,3.038168998652908,41.597046,34.508101,13.547859,7.652119,-0.072447,-0.017128,-0.092584,-0.182159,8.240506,5.43038,0.0,0.0,0.0,0.772152,0.00211,0.270042,0.0,0.9715,99.30141998007754,98.74534864030412,95.08584106713091,98.99641771603817,96.48049066266653,94.71355104321292,99.72878606789018,,,,99.18700649084565,100.0,98.4613253020834,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
3980,97.894847,46.659534,16.648093605990727,7.229173407885604,3.05589650556808,42.270042,34.794696,13.792183,7.846809,-0.071228,-0.090508,-0.070808,-0.232544,7.976371,5.413502,0.0,0.0,0.0,0.759494,0.00211,0.274262,0.0,0.9763,99.62828880507148,99.18770335703046,96.62422892993288,99.81859794367016,98.22043343891367,97.12331247695477,99.41882204120073,,,,97.5610194725369,100.0,100.0,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
4980,98.3745,47.459435,16.6834661995174,7.254299259685911,3.052976903064636,42.907173,34.857929,13.900474,7.938417,-0.071786,-0.02529,-0.094281,-0.191357,7.861814,5.440928,0.0,0.0,0.0,0.755274,0.00211,0.270042,0.0,0.9799,99.8399713584656,99.53244201446024,98.08063371898793,100.0,98.99162310174904,98.25718389008448,99.92249981084078,,,,97.01893816290956,100.0,98.4613253020834,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
563,85.33863,41.25653,15.861264817437052,6.959813658320501,2.522053157021791,37.561181,33.108477,12.048306,6.410518,-0.076082,-0.310188,-0.126087,-0.512357,7.601688,5.187764,0.0,0.0,0.0,0.765823,0.00211,0.21519,0.0,0.9072,94.91961719128614,95.49195926171738,85.86033938226618,94.98119351841012,85.80148896840075,79.34572421135051,95.27314960034144,,,,98.37401298169128,100.0,78.46147114802633,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
5980,98.722917,48.221159,16.69942816729542,7.274502416185999,3.0648376137496136,43.369198,34.822751,14.001767,8.033003,-0.071281,-0.037999,-0.06633,-0.175611,8.201055,5.42827,0.0,0.0,0.0,0.761603,0.00211,0.272152,0.0,0.9826,99.93549361905124,99.80963894704738,99.13676726556334,99.89908178423336,99.7129768108992,99.42791528343751,99.69003597331056,,,,97.83193167206392,100.0,99.2306626510417,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
659,87.489772,41.778156,16.01838279125343,6.990940769994835,2.5957773323409,38.004219,33.210792,12.236833,6.541384,-0.07527,-0.141559,-0.128689,-0.345518,7.674684,5.183544,0.0,0.0,0.0,0.761603,0.00211,0.21308,0.0,0.9203,95.8598686844789,95.91903806380384,86.87307093187428,95.27471353791556,87.14407582756134,80.96550868814984,95.19564941118225,,,,97.83193167206392,100.0,77.69213379906805,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
851,90.342438,42.570064,16.196937071895842,7.034899402285918,2.681788461141646,38.706751,33.435967,12.367629,6.663974,-0.073634,-0.154532,-0.118916,-0.347082,7.974895,5.253165,0.0,0.0,0.0,0.772152,0.0,0.227848,0.0,0.9314,96.92840288786796,96.52217144208366,88.47897453610074,95.92069282142378,88.07553387246084,82.48285757182342,96.47423724754589,,,,99.18700649084565,0.0,83.07676601206146,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
7980,100.0,,16.710207317284837,7.288376646713837,3.1459404769576547,43.746835,34.600115,14.042071,8.079223,-0.072148,-0.135436,-0.070168,-0.277752,8.251688,5.445148,0.0,0.0,0.0,0.767932,0.00211,0.272152,0.0,1.0,100.0,100.0,100.0,99.26038635284388,100.0,100.0,100.0,,,,98.64492518121828,100.0,99.2306626510417,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
988,89.686854,40.802276,16.81657144208461,9.142543836844377,2.54869341289411,42.419558,53.006537,15.554129,9.789304,-0.090886,-0.003013,-0.272761,-0.366661,11.014826,1.170347,0.0,0.0,0.0,1.29653,0.0,0.129338,0.0,0.8484,95.81023416100562,97.44824474940596,87.23887243425685,97.1259949560079,89.23948497184308,87.18071023043527,90.26763746307452,,,0.0,94.26607939252315,,95.34895721984267,,./TRAIN07/SEQUENCE_C_01,./NUSCENES
1490,94.339847,42.257548,17.12201644331458,9.215830386036592,2.727897172603522,43.782334,53.651173,15.928227,10.072702,-0.084058,0.181665,-0.229894,-0.132287,11.521451,1.258675,0.0,0.0,0.0,1.293375,0.0,0.132492,0.0,0.8846,97.55046742983444,98.22938900312468,90.04151930814616,98.30718724714856,91.38581620318344,89.70457085606145,97.08028352602716,,,0.0,94.03669057739091,,97.67411000611884,,./TRAIN07/SEQUENCE_C_01,./NUSCENES
