VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,filename,filename
89.287677,42.887942,2.745098728819244,-0.083681,-0.2276,-0.371543,-0.682824,0.9213,96.6732955826773,97.0839191864301,85.63231515031198,96.28722071360994,88.57464085601303,87.79372534373697,91.53120135947292,./TRAIN07/SEQUENCE_C_03,./NUSCENES
93.22869,44.120553,2.8809033173290595,-0.08303,-0.25809,-0.338677,-0.679797,0.9413,97.93744997365584,97.87975149203338,88.32912477482029,97.69586610567588,90.58108602554452,89.9668004407487,96.23607219436478,./TRAIN07/SEQUENCE_C_03,./NUSCENES
95.215403,44.953018,2.957333172248747,-0.081978,-0.18354,-0.316638,-0.582156,0.9543,98.4950089178195,98.33471308590563,90.28574746450676,98.46849287415702,92.3108398473665,91.7638030258503,99.65783536007469,./TRAIN07/SEQUENCE_C_03,./NUSCENES
97.376499,46.163608,3.0375045522591586,-0.079905,-0.17874,-0.327713,-0.586358,0.9659,99.19998078178726,98.8823063877706,92.99403129709695,99.23646277838203,94.81629709855326,94.4398856069242,100.0,./TRAIN07/SEQUENCE_C_03,./NUSCENES
98.472239,47.086387,3.087866927463333,-0.082951,-0.215399,-0.324569,-0.622919,0.9713,99.52185655887818,99.26712734327155,95.23754834995012,99.74114916838036,96.63118280203574,96.3864198837201,99.14456893911058,./TRAIN07/SEQUENCE_C_03,./NUSCENES
99.068433,47.965707,3.076792763561887,-0.081464,-0.18115,-0.324747,-0.587361,0.9758,99.77602139437776,99.5561084533685,97.26302412035184,100.0,98.37837625468758,98.18650570208652,97.69032056673768,./TRAIN07/SEQUENCE_C_03,./NUSCENES
77.839467,40.433134,2.2845891761354107,-0.086133,-0.345788,-0.410761,-0.842681,0.8558,93.20239438873234,94.88029196074751,80.75510575499545,92.5469944603186,85.99561993886017,84.99961946140932,82.63472611065335,./TRAIN07/SEQUENCE_C_03,./NUSCENES
99.460671,48.86182,3.0789485928642177,-0.080324,-0.161315,-0.303381,-0.54502,0.9776,99.98114460661608,99.77702660321611,98.90406039981362,99.85773636350156,99.29384410134136,99.19658726026452,97.0915032552542,./TRAIN07/SEQUENCE_C_03,./NUSCENES
81.601871,41.143541,2.4569780489758086,-0.084464,-0.300727,-0.406157,-0.791348,0.8781,94.39166051364752,95.62341898904828,82.1608907452536,93.79350047467918,86.46421270616435,85.54430693269609,88.62274353687934,./TRAIN07/SEQUENCE_C_03,./NUSCENES
86.425129,42.167631,2.635461479086315,-0.085283,-0.262699,-0.374333,-0.722316,0.9068,95.82105667344764,96.5361781577508,84.12898764302196,95.25656086702456,87.61415155104672,86.75116228162948,93.75532990221588,./TRAIN07/SEQUENCE_C_03,./NUSCENES
100.0,,3.175904649047176,-0.082826,-0.149874,-0.305579,-0.538278,1.0,100.0,100.0,100.0,99.086513277846,100.0,100.0,96.40717397540357,./TRAIN07/SEQUENCE_C_03,./NUSCENES
93.529457,43.06168,2.7776142656378227,-0.095256,0.021061,-0.191395,-0.265591,0.9152,98.7906763597884,96.4533796703531,89.6120756875796,95.44498136406747,87.86622398778243,83.77005707104685,98.00832914085244,./TRAIN07/SEQUENCE_C_05,./NUSCENES
95.53268,43.967756,2.8747050658230764,-0.096094,0.074809,-0.185111,-0.206396,0.9338,99.3100804046662,97.22525381642572,91.64096652348356,96.79441266350712,89.80282894894333,86.16994455101374,98.14728415937624,./TRAIN07/SEQUENCE_C_05,./NUSCENES
96.580911,44.585023,2.916186680542121,-0.092374,0.055567,-0.175941,-0.212748,0.943,99.51473556126588,97.71270357202268,93.06389553953268,97.74304301608444,92.05361810843344,89.07993555107842,100.0,./TRAIN07/SEQUENCE_C_05,./NUSCENES
97.854991,45.576788,3.019001886652597,-0.092493,0.170089,-0.168604,-0.091009,0.9562,99.68391440640085,98.3942364810068,94.96834815746188,98.72564804920644,94.76151920905173,92.81740373362145,98.74942257297931,./TRAIN07/SEQUENCE_C_05,./NUSCENES
98.427983,46.349222,3.0457808376402697,-0.090953,0.073961,-0.162492,-0.179484,0.9634,99.8009263964519,98.88952840306035,96.3966876209088,99.42681856129371,97.0910969465221,95.91599202879884,99.39786158639691,./TRAIN07/SEQUENCE_C_05,./NUSCENES
98.736154,47.072606,3.0675217210928496,-0.092574,-0.057091,-0.164041,-0.313706,0.9679,99.88495104017508,99.283696762864,97.77633512995,99.94579180598645,98.38407690446384,97.64655918907452,97.91569246183658,./TRAIN07/SEQUENCE_C_05,./NUSCENES
87.861629,41.24647,2.5750524352111324,-0.09883,-0.232877,-0.24899,-0.580697,0.8664,96.91065787998376,94.85372657593771,85.38115969904237,93.06582624788405,85.17100415620392,79.879457793495,94.95135421271594,./TRAIN07/SEQUENCE_C_05,./NUSCENES
98.945491,47.790221,3.083460852424791,-0.091201,0.002471,-0.151627,-0.240357,0.9704,99.91645219036486,99.5939973444274,98.76102205112691,100.0,99.20440216610312,98.79394673662726,99.35154324688898,./TRAIN07/SEQUENCE_C_05,./NUSCENES
89.838819,41.789328,2.6268414880409576,-0.098157,-0.11719,-0.219813,-0.43516,0.8773,97.69263990637192,95.33146858648722,86.65800870752555,93.67637056040893,85.77294917114261,80.85732690844897,95.27558258927144,./TRAIN07/SEQUENCE_C_05,./NUSCENES
92.142471,42.54814,2.7298320314704627,-0.095257,-0.043361,-0.214323,-0.352942,0.8984,98.36580984459324,96.01308943255636,88.42179176528663,94.64770963351748,86.92239419288607,82.44473114345625,97.22093510891106,./TRAIN07/SEQUENCE_C_05,./NUSCENES
100.0,,3.12845027507118,-0.091878,-0.094979,-0.170372,-0.357229,1.0,100.0,100.0,100.0,99.36175887402308,100.0,100.0,98.4251941964238,./TRAIN07/SEQUENCE_C_05,./NUSCENES
