BITRATE,FRAME,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOP_SIGNS,INFERENCE_TIME_MS
997.0,154.0,4.283388,0.0,0.0,0.035831,0.289902,0.315961,0.039088,0.0,8.036156
1513.0,154.0,4.602606,0.0,0.0,0.006515,0.162866,0.348534,0.061889,0.0,8.399349
2018.0,154.0,4.863192,0.003257,0.0,0.019544,0.169381,0.325733,0.078176,0.0,8.322801
454.0,154.0,2.449511,0.0,0.0,0.065147,0.52443,0.368078,0.009772,0.0,8.609446
454.0,154.0,2.449511,0.0,0.0,0.065147,0.52443,0.368078,0.009772,0.0,8.470358
500.0,154.0,2.944625,0.0,0.0,0.039088,0.42671,0.306189,0.022801,0.0,8.205212
586.0,154.0,3.306189,0.0,0.0,0.039088,0.452769,0.319218,0.029316,0.0,8.326384
677.0,154.0,3.602606,0.0,0.0,0.035831,0.465798,0.306189,0.039088,0.0,8.342671
781.0,154.0,3.882736,0.0,0.003257,0.039088,0.498371,0.29316,0.045603,0.0,8.256352
874.0,154.0,4.078176,0.0,0.003257,0.032573,0.322476,0.32899,0.035831,0.0,8.152769
