VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,filename
71.270688,33.346,1.905980829844479,-0.087681,-0.208384,-0.366492,-0.662557,0.8313,93.19590750778978,95.51331176993708,86.52158300139526,97.35775231842744,96.31740221985024,97.35218700214229,83.93778412306288,./SEQUENCE11
81.321545,35.007352,2.272867552125889,-0.08356,-0.13891,-0.29393,-0.516401,0.8633,95.7091775850238,96.9454387204141,90.16472272749938,98.72503044585636,97.27434684435045,98.004413004727,86.52847847727416,./SEQUENCE11
87.807239,36.250335,2.423080435160785,-0.078573,-0.037086,-0.260949,-0.376608,0.8871,97.00052678854884,97.71581389094628,92.47926016465304,99.4253038697393,97.8766075955694,98.52086401730573,90.15545057316996,./SEQUENCE11
94.668463,37.932986,2.6952851663906703,-0.072271,0.031044,-0.20191,-0.243137,0.9084,98.33460472004994,98.5726331399666,95.17253883189024,100.0,98.50191752742928,98.90023426685774,92.228006056539,./SEQUENCE11
98.116051,39.297998,2.823450999113901,-0.072728,0.07661,-0.183062,-0.179181,0.9255,99.0550810038172,99.09678398684784,96.92797906865258,99.69562206266448,98.94519680398948,99.214635957595,94.81861129157744,./SEQUENCE11
99.051562,40.287849,2.916165498081101,-0.069554,0.114972,-0.179938,-0.13452,0.9301,99.33377634460682,99.37937755121592,97.89587665517428,99.09811320443282,99.21172023374147,99.36261001772804,100.0,./SEQUENCE11
52.102805,30.410399,1.2862382091532,-0.102932,-0.469587,-0.526474,-1.098993,0.7143,85.64640011875872,91.23414667083416,77.55200218485705,93.3130075274892,94.58794327697277,95.89395354943656,60.62180229267984,./SEQUENCE11
99.394372,41.156607,2.978943814774618,-0.069581,0.062343,-0.16907,-0.176309,0.9406,99.6344896121215,99.63720158003017,98.74954944871796,98.83747013741284,99.5598760246758,99.6745424256324,100.0,./SEQUENCE11
57.201093,31.193579,1.4321749210434986,-0.099043,-0.527944,-0.483625,-1.110612,0.7461,88.08268343145949,92.74213194070924,80.24528085209425,94.56579793474152,94.9300944116998,96.1135520542096,72.53881808370608,./SEQUENCE11
65.171293,32.405008,1.7036036352259138,-0.094448,-0.29634,-0.405153,-0.79594,0.7955,91.24260983238804,94.4686911578647,84.0627636832701,96.10959632187776,95.77990623815955,96.87232303828692,75.6476513087596,./SEQUENCE11
100.0,,3.089211210490736,-0.068355,0.144865,-0.162903,-0.086393,1.0,100.0,100.0,100.0,98.59026559172888,100.0,100.0,94.30056153990802,./SEQUENCE11
85.037771,39.020431,2.516798423647011,-0.096207,-0.160106,-0.209931,-0.466244,0.9221,96.0237330351362,97.13342378907544,86.37296854788383,96.70154708040444,91.05332587444892,77.41681254054396,87.75505764265071,./SEQUENCE06
90.472828,40.362336,2.7066851724612424,-0.092142,-0.081748,-0.170162,-0.344052,0.9362,97.19859259897468,97.907274818993,89.12637645282078,97.64851732564274,92.7250643830209,81.08089451323096,92.65305132028362,./SEQUENCE06
93.789154,41.366835,2.8409152351388416,-0.086578,-0.079208,-0.150013,-0.315799,0.9541,97.87321828809596,98.36657276461295,91.0304273075152,98.17773983509584,94.2929505697401,84.40430055302782,91.42857381924188,./SEQUENCE06
97.533366,42.968543,2.983140098059466,-0.087076,0.156286,-0.133264,-0.064054,0.9657,98.73023658783676,98.9971210836099,94.21317761191074,99.04761743094431,96.94611414309136,90.51971573987568,97.95920416493044,./SEQUENCE06
98.984777,44.076184,3.0755045708025737,-0.08364,0.07134,-0.120217,-0.132516,0.9704,99.29738383663958,99.35726325902394,96.31323364537124,99.67484225637492,98.0560666667044,93.32953330477692,100.0,./SEQUENCE06
99.640753,45.03192,3.1268345477059394,-0.082061,0.060786,-0.112721,-0.133996,0.9753,99.70275110188776,99.6288756300182,97.75993972073964,100.0,98.69120679535963,95.3318785295014,97.1428858309026,./SEQUENCE06
74.160743,36.905363,2.190606900150076,-0.101188,-0.281181,-0.268229,-0.650599,0.883,93.26460405878022,95.459230964995,81.64084379101519,94.85392432049608,87.20537939013833,71.01333720081801,80.4081926364003,./SEQUENCE06
99.751572,45.849431,3.180845937092422,-0.081919,0.125639,-0.105656,-0.061937,0.9774,99.88357453963316,99.80077033698213,98.76796608105306,99.88649427872208,99.40131857914884,97.56822906302314,99.5918408329861,./SEQUENCE06
77.426644,37.507721,2.2376528798314856,-0.099541,-0.289531,-0.249848,-0.63892,0.897,94.17056148721356,95.98135981291776,82.94754562058372,95.46371785602926,88.736313528065,73.44683951175254,82.44898847146985,./SEQUENCE06
81.830539,38.340893,2.3985807483264114,-0.0962,-0.166861,-0.221076,-0.484137,0.9094,95.27200550548628,96.67506830385338,84.85159456189383,96.17931315261528,90.13889813341606,75.52671431317857,87.3468984756368,./SEQUENCE06
100.0,,3.24555297459725,-0.078932,0.068657,-0.098666,-0.108942,1.0,100.0,100.0,100.0,99.59619305236164,100.0,100.0,95.510165489381,./SEQUENCE06
91.541946,45.120769,2.73539700552755,-0.082844,-0.205167,-0.17383,-0.461841,0.8662,96.70836399257908,97.9126491749688,83.62496859636919,94.15367113613382,84.44442882618058,84.07854441839346,99.6503405398792,./SEQUENCE01
94.544029,46.33764,2.85622781467472,-0.078754,-0.100467,-0.156595,-0.335815,0.9003,97.58047113922372,98.4444525240644,86.23661680699473,95.26912238525634,86.94013465774259,86.7096009230487,99.30068107975838,./SEQUENCE01
