VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,filename
66.318704,37.010912,2.534363826118721,-0.08361,-0.048692,-0.041874,-0.174177,0.9008,85.91669375033719,92.83584305289745,83.86537591855054,93.52018071856224,86.3665304387091,83.29492342212562,87.79473211962899,./TRAIN02/SEQUENCE_02_10
77.517874,38.836523,3.062791674528223,-0.072954,0.114114,-0.002077,0.039083,0.928,91.342370707081,95.51863869763216,88.84876365844015,95.67970563620176,89.19796076417462,86.23793264357498,90.84604908972172,./TRAIN02/SEQUENCE_02_10
83.33552,40.106999,3.313553903676884,-0.068876,0.253802,0.032604,0.21753,0.9422,94.08278078901388,96.85894916852357,91.50657091383088,96.781764436944,91.1101649957284,88.42560871106079,96.60194196235004,./TRAIN02/SEQUENCE_02_10
88.988286,41.612519,3.5067842045352604,-0.064328,0.454035,0.053985,0.443692,0.9581,96.51773603586608,98.01067359945996,94.2510468238592,98.00917255079918,93.74434706788652,91.69452245547708,98.89042415940622,./TRAIN02/SEQUENCE_02_10
92.263955,42.753981,3.607983869145356,-0.064052,0.50114,0.067482,0.504571,0.9678,97.92405302605704,98.73553083560051,96.1938457421898,98.85329592970062,95.65844993172452,94.27666381093874,99.86131684620926,./TRAIN02/SEQUENCE_02_10
94.249005,43.570475,3.685909652490034,-0.06281,0.499699,0.080942,0.517831,0.973,98.73804490626736,99.19755976850448,97.44330463907691,99.44866384964172,97.19814250911328,96.34174581861394,99.37587050280771,./TRAIN02/SEQUENCE_02_10
40.287185,33.433143,1.3163570754401197,-0.102747,-0.421639,-0.182835,-0.70722,0.7797,71.82857809175647,83.81717380929916,72.20135733278032,85.58527722260901,77.77956656581874,74.18808436140067,67.7531249612864,./TRAIN02/SEQUENCE_02_10
95.785926,44.356599,3.745202096661184,-0.062324,0.430674,0.088647,0.456997,0.9756,99.36868253481832,99.56791386811874,98.64942920864524,99.82723339907884,98.3324378117726,97.81803115295278,100.0,./TRAIN02/SEQUENCE_02_10
47.634865,34.356537,1.59716204082939,-0.09573,-0.358352,-0.154856,-0.608938,0.8276,76.05615544136293,86.83388481089708,75.48028149872124,88.51981787714887,81.73800537417688,78.92456907573842,74.75727682829924,./TRAIN02/SEQUENCE_02_10
58.552332,35.879686,2.126262072820219,-0.086737,-0.241953,-0.084338,-0.413029,0.8774,81.88067713621541,90.58380047042668,80.42033721520652,91.66413796167062,84.22324956414931,81.15167684807263,85.57560256049499,./TRAIN02/SEQUENCE_02_10
100.0,,3.8508770577847153,-0.0638,0.545887,0.079533,0.561621,1.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51457577865206,./TRAIN02/SEQUENCE_02_10
51.576671,32.104318,1.867451474799945,-0.08444,-0.258424,-0.395328,-0.738192,0.7968,79.27166850074559,92.03938969232128,76.29023076925414,84.12670255827123,83.9840846916198,80.24107613610992,74.63952867008936,./TRAIN02/SEQUENCE_02_01
62.994946,33.594973,2.2985126438563306,-0.078683,-0.020774,-0.352543,-0.451999,0.8543,85.59638782066042,94.58760454143804,82.17482396831505,89.75813426450782,87.1923437471316,84.24562837349004,87.53180868118267,./TRAIN02/SEQUENCE_02_01
71.574583,34.751533,2.661091019232316,-0.07164,-0.108554,-0.288993,-0.469186,0.8848,89.68053036514306,96.1483856371759,86.25499861337364,93.04385832804472,89.72115689627502,87.39380020590585,91.0093143123846,./TRAIN02/SEQUENCE_02_01
