VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,filename
58.630633,33.314683,1.98130285306812,-0.059209,0.025227,-0.297558,-0.33154,0.3725,89.51594597039843,96.07803428066272,85.12784924004572,91.5083682369444,89.82679126327953,84.97981509887077,60.5768847910514,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
70.666116,35.255261,2.427924428619575,-0.04623,0.353955,-0.208863,0.098861,0.4979,92.9230500584855,97.54593720606483,88.85023419913061,95.4051685813498,91.59744901052478,88.53310118614861,76.92305451183496,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
78.904178,36.663709,2.804249019276808,-0.04297,0.529895,-0.168981,0.317944,0.6202,94.91089801110478,98.28252233466117,91.70290532851337,97.31725725453752,93.21756883331784,90.98372877375786,92.30768483727832,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
88.438224,38.585615,3.1178593673028026,-0.039964,0.555442,-0.123183,0.392295,0.7488,96.9586823162972,98.99556466247064,94.62515208853736,98.8722405951972,95.20429003463646,94.0838423487412,93.26922423261853,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
93.669568,39.880292,3.211009743345425,-0.038712,0.61285,-0.104373,0.469765,0.8201,98.08277075584566,99.37408099808547,96.60810587456338,99.39311910660992,96.46336084897187,95.76105903644292,98.07692120931956,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
96.882078,40.889969,3.361697181690781,-0.039173,0.73316,-0.089811,0.604175,0.8475,98.77122045296328,99.61187489297888,97.7213423172327,99.5695465960205,97.71212101923112,97.38900437337831,98.07692120931956,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
39.930388,30.114189,1.213752322034739,-0.08507,-0.557171,-0.49962,-1.141861,0.1108,82.90831948316638,91.5251113947177,80.0660978153642,81.99435403564746,86.88535862071312,79.60536806846757,34.61541823224755,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
98.691547,41.690348,3.4647298819117074,-0.038647,0.769881,-0.085545,0.645689,0.8779,99.250913875077,99.76475009763838,98.55627096685514,99.70395207718413,98.67097940656824,98.4610396773016,96.15384241863916,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
44.354246,30.91613,1.3066499396723144,-0.079784,-0.326547,-0.439793,-0.846124,0.1819,84.63389121145816,93.01793945697712,81.16194166799366,84.66345828350121,87.86292868424962,81.33676191242316,34.61541823224755,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
52.133715,32.239973,1.650654365589869,-0.067765,-0.087139,-0.343693,-0.498596,0.2998,87.54817809223454,95.00190512844384,83.33623326955816,88.74494216805495,88.76609950981585,83.19945461256427,46.15389097633006,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
100.0,,3.6322030397005465,-0.038277,0.750845,-0.077516,0.635052,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
47.246391,31.117406,1.5600288285783912,-0.071294,-0.484111,-0.403329,-0.958734,0.1566,84.1536350112787,95.16851988748762,81.29165248307424,83.41795540191107,86.0481392736862,80.41214107443332,71.05263157894736,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
60.350167,33.009687,2.149595574766451,-0.061823,-0.074687,-0.318395,-0.454906,0.266,88.91156289080584,96.938625420128,85.9092339834387,89.7178674923001,89.3669838033919,85.73345212999325,89.4736842105263,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
69.807481,34.397454,2.529582793539995,-0.053362,0.113648,-0.266978,-0.206691,0.3601,91.93246002635324,97.85145139478568,89.32084952827134,93.44054942948146,91.39495960840712,88.7384200933375,100.0,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
81.964158,36.340696,2.9503690502830784,-0.048314,0.22563,-0.214936,-0.03762,0.4723,95.34806974966509,98.781740259114,93.6369407417522,96.8748508433943,94.57421725188608,93.3286365590183,94.73684210526314,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
89.022712,37.696024,3.171375202357897,-0.046194,0.487943,-0.195372,0.246376,0.5856,97.18766550567044,99.26391639579904,95.93779669350812,98.4162337655312,96.2845996288025,95.59455993587002,92.10526315789473,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
93.316218,38.736998,3.321117309647222,-0.046216,0.524373,-0.180613,0.297544,0.6646,98.28652911527014,99.54471963241772,97.49285852114974,99.19928432853636,97.41687545724542,97.14723262971503,94.73684210526314,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
30.191924,28.259431,1.1450030693796154,-0.088466,-0.520926,-0.581334,-1.190725,0.1056,77.07472894326715,89.85582989804996,73.80196724022872,71.1813057728198,81.5113248530785,72.95404178438022,7.894736842105263,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
96.021897,39.59548,3.3941503812127234,-0.046214,0.606309,-0.175592,0.384503,0.6891,99.01252026830268,99.74692851402128,98.55601413166605,99.52228204361016,98.37678936460593,98.44336102494982,94.73684210526314,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
33.689854,28.987117,1.1890399443690818,-0.085532,-0.566012,-0.542822,-1.194366,0.0861,78.52224163984036,91.55762963194364,75.5950489806725,74.16107762287572,82.50395717923863,74.56836182038535,23.684210526315784,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
