BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
2001,69.807481,34.397454,23.18234592885758,16.94066737491387,2.529582793539995,55.732673,105.362631,16.14294,10.179808,-0.053362,0.113648,-0.266978,-0.206691,7.665347,0.376238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3601,91.93246002635324,97.85145139478568,89.32084952827134,93.44054942948146,91.39495960840712,88.7384200933375,100.0,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
2967,81.964158,36.340696,24.04365047940574,17.101724916611325,2.9503690502830784,58.425743,109.235115,16.704487,10.706384,-0.048314,0.22563,-0.214936,-0.03762,7.791089,0.356436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4723,95.34806974966509,98.781740259114,93.6369407417522,96.8748508433943,94.57421725188608,93.3286365590183,94.73684210526314,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
3952,89.022712,37.696024,24.507536088174938,17.185202324777165,3.171375202357897,59.861386,110.973163,17.006589,10.966324,-0.046194,0.487943,-0.195372,0.246376,7.670297,0.346535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5856,97.18766550567044,99.26391639579904,95.93779669350812,98.4162337655312,96.2845996288025,95.59455993587002,92.10526315789473,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
4971,93.316218,38.736998,24.784633386768608,17.233816772100628,3.321117309647222,60.831683,111.856123,17.206581,11.144442,-0.046216,0.524373,-0.180613,0.297544,7.786139,0.356436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6646,98.28652911527014,99.54471963241772,97.49285852114974,99.19928432853636,97.41687545724542,97.14723262971503,94.73684210526314,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
680,30.191924,28.259431,19.4357143083472,15.55641438427168,1.1450030693796154,46.049505,80.26333,14.39721,8.369071,-0.088466,-0.520926,-0.581334,-1.190725,7.761386,0.029703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056,77.07472894326715,89.85582989804996,73.80196724022872,71.1813057728198,81.5113248530785,72.95404178438022,7.894736842105263,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
5954,96.021897,39.59548,24.96770450273859,17.268824463398722,3.3941503812127234,61.49505,112.220332,17.376129,11.29313,-0.046214,0.606309,-0.175592,0.384503,7.90198,0.356436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891,99.01252026830268,99.74692851402128,98.55601413166605,99.52228204361016,98.37678936460593,98.44336102494982,94.73684210526314,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
770,33.689854,28.987117,19.800729451624715,15.851040808506262,1.1890399443690818,47.168317,83.623291,14.572537,8.554261,-0.085532,-0.566012,-0.542822,-1.194366,7.69505,0.089109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861,78.52224163984036,91.55762963194364,75.5950489806725,74.16107762287572,82.50395717923863,74.56836182038535,23.684210526315784,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
942,40.867493,30.17748,20.54577621938128,16.246888360153502,1.3368269540517543,49.128713,89.604551,14.925062,8.966015,-0.077722,-0.442299,-0.472705,-0.992726,7.672277,0.138614,0.0,0.0,0.0,0.029703,0.0,0.0,0.0,0.1373,81.47681674646417,93.84409548376205,78.73690862432936,79.4655410305955,84.4998146956485,78.15766325191649,36.84210526315789,,,,100.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
7955,100.0,,25.216714446901737,17.31263781317464,3.5638509222695385,62.39604,112.759002,17.662834,11.471703,-0.044776,0.446347,-0.161753,0.239817,7.670297,0.356436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,94.73684210526314,,,,0.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_08
1150,64.336014,33.655239,21.80071763915233,16.286525207818844,1.955887187881512,49.039604,97.052022,15.992395,10.615897,-0.062877,0.116762,-0.151518,-0.097634,7.765347,0.831683,0.0,0.0,0.0,0.287129,0.0,0.0,0.0,0.3263,90.1995813252237,97.32848625856182,86.75775171910529,93.58253829608408,92.25943853280194,91.01829506058058,61.76467748703153,,,,85.29411764705883,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_06
